Date,Open,High,Low,Close,Adj Close,Volume
2020-09-27,26132.900390625,26683.00390625,25728.083984375,26334.447265625,26334.447265625,844920640634
2020-09-28,26333.669921875,27071.302734375,26166.171875,26182.94140625,26182.94140625,892742201143
2020-09-29,26184.736328125,26598.59765625,25974.6015625,26538.84375,26538.84375,758389813118
2020-09-30,26537.291015625,26561.654296875,26074.638671875,26474.298828125,26474.298828125,718706747259
2020-10-01,26472.994140625,27009.51953125,25434.33203125,25875.728515625,25875.728515625,905472866752
2020-10-02,25874.916015625,25957.25390625,24763.4140625,25408.67578125,25408.67578125,949250191434
2020-10-03,25406.4765625,25782.275390625,25287.986328125,25466.521484375,25466.521484375,630544592288
2020-10-04,25462.91796875,25974.7734375,25325.533203125,25891.833984375,25891.833984375,682526572107
2020-10-05,25886.255859375,26045.587890625,25648.474609375,25903.341796875,25903.341796875,726319558128
2020-10-06,25893.15625,26028.408203125,24920.30078125,25105.431640625,25105.431640625,846452723040
2020-10-07,25110.623046875,25124.765625,24708.6953125,25090.517578125,25090.517578125,772775500541
2020-10-08,25088.697265625,25858.662109375,24642.5234375,25755.373046875,25755.373046875,843550332812
2020-10-10,26660.203125,27598.826171875,26656.669921875,27066.240234375,27066.240234375,993620958439
2020-10-11,27063.384765625,27524.37890625,26983.09765625,27391.017578125,27391.017578125,918858862161
2020-10-14,28043.791015625,28368.8046875,27430.357421875,27814.490234375,27814.490234375,1020189444870
2020-10-15,27793.1015625,27936.888671875,27281.365234375,27693.474609375,27693.474609375,1097944519637
2020-10-16,27724.779296875,27885.978515625,26599.42578125,26897.509765625,26897.509765625,1077488602231
2020-10-17,26881.845703125,27157.439453125,26769.71875,27090.443359375,27090.443359375,804299301531
2020-10-18,27081.013671875,27805.84765625,27037.064453125,27777.546875,27777.546875,811344048359
2020-10-19,27796.345703125,28116.84765625,27429.109375,27886.248046875,27886.248046875,940310579184
2020-10-20,27870.400390625,27924.05859375,27006.087890625,27124.568359375,27124.568359375,1009746238177
2020-10-21,27118.875,29530.955078125,27101.89453125,28914.51953125,28914.51953125,1492307828723
2020-10-22,28862.810546875,30961.373046875,28847.158203125,30506.32421875,30506.32421875,1162887807348
2020-10-23,30526.845703125,30857.361328125,29760.533203125,30254.775390625,30254.775390625,1052596037409
2020-10-24,30254.81640625,30759.28125,30113.38671875,30453.45703125,30453.45703125,900905041908
2020-10-25,30453.458984375,30800.595703125,29929.513671875,29993.537109375,29993.537109375,804090513044
2020-10-26,29993.5546875,30341.76171875,28390.263671875,29127.552734375,29127.552734375,1120744070857
2020-10-27,29127.544921875,30214.787109375,28799.3671875,29817.099609375,29817.099609375,1028877098532
2020-10-28,29817.1015625,30169.328125,28291.84375,28834.583984375,28834.583984375,1133382082412
2020-10-29,28834.60546875,29258.833984375,28397.65625,28727.279296875,28727.279296875,959765388419
2020-10-30,28727.2890625,29095.615234375,27991.177734375,28563.67578125,28563.67578125,1021318725343
2020-10-31,28563.6796875,29324.001953125,28449.91015625,28844.99609375,28844.99609375,841417736457
2020-11-01,28844.99609375,29667.55078125,28738.68359375,29582.390625,29582.390625,781817739706
2020-11-02,29582.2265625,30125.130859375,28377.640625,28529.96484375,28529.96484375,1042263578094
2020-11-03,28529.9140625,29081.939453125,27584.82421875,28939.095703125,28939.095703125,939880307659
2020-11-04,28939.173828125,30292.126953125,28259.619140625,29835.216796875,29835.216796875,1122215047302
2020-11-05,29835.287109375,30954.345703125,29514.369140625,30697.9140625,30697.9140625,1144735560149
2020-11-06,30697.8671875,33750.24609375,30617.470703125,33640.65625,33640.65625,1238319098112
2020-11-07,33640.8984375,34451.20703125,31697.693359375,32234.55859375,32234.55859375,1396267682819
2020-11-08,32234.978515625,33867.125,32045.21484375,33553.07421875,33553.07421875,835387942759
2020-11-09,33554.5078125,33790.6328125,32256.916015625,32849.14453125,32849.14453125,1013535922537
2020-11-10,32849.390625,33682.9375,32545.818359375,33404.5859375,33404.5859375,898137629196
2020-11-11,33404.58984375,35286.078125,33393.09375,34510.81640625,34510.81640625,1049233430856
2020-11-12,34510.7421875,34906.95703125,33733.5078125,34523.53125,34523.53125,964350843212
2020-11-13,34523.546875,35419.3203125,34091.578125,35377.65625,35377.65625,983267134560
2020-11-14,35377.65625,35417.53515625,33764.6328125,34298.6015625,34298.6015625,768637652937
2020-11-15,34298.60546875,34361.53125,32815.6328125,33360.11328125,33360.11328125,768382675369
2020-11-16,33360.10546875,34476.8203125,33206.7578125,34228.0,34228.0,851438195726
2020-11-17,34560.37890625,35885.578125,34297.93359375,35813.2734375,35813.2734375,1087986261794
2020-11-18,35812.28515625,36623.46875,34668.30859375,35597.015625,35597.015625,1327430460444
2020-11-19,35596.7890625,35655.06640625,34585.296875,34949.27734375,34949.27734375,924356824228
2020-11-20,34949.3515625,38067.44140625,34949.3515625,37804.0078125,37804.0078125,1381645964196
2020-11-21,37804.0078125,40806.3203125,37395.609375,40751.3828125,40751.3828125,1539401481791
2020-11-22,40751.3828125,42961.15234375,38157.95703125,41381.41015625,41381.41015625,1628882671004
2020-11-23,41380.7734375,45297.9609375,40859.8046875,45174.21484375,45174.21484375,2024811781583
2020-11-24,45179.3203125,45947.88671875,44011.41015625,44665.0625,44665.0625,1721949095350
2020-11-25,44665.3828125,44753.55078125,41298.40234375,42111.22265625,42111.22265625,1482338930365
2020-11-26,42098.55078125,42476.2421875,35836.5234375,38304.93359375,38304.93359375,2296519078279
2020-11-27,38327.59375,39182.10546875,36816.81640625,38261.64453125,38261.64453125,1244432205253
2020-11-28,38269.3125,40534.7421875,37582.1953125,39808.79296875,39808.79296875,1092443420999
2020-11-29,39811.3671875,42639.390625,39347.1015625,42576.94921875,42576.94921875,1110536127356
2020-11-30,42576.87890625,45528.13671875,42256.93359375,45498.68359375,45498.68359375,1500499270533
2020-12-01,45515.5390625,46781.8046875,42104.90234375,43268.17578125,43268.17578125,2002274502381
2020-12-02,43263.56640625,44553.6328125,42635.8828125,44076.33984375,44076.33984375,1243671415635
2020-12-03,44084.2109375,45961.62890625,43452.0390625,45598.984375,45598.984375,1193837313521
2020-12-04,45600.0234375,45717.6953125,42012.296875,42017.515625,42017.515625,1205690452265
2020-12-05,42017.03125,44027.8828125,41556.453125,44027.8828125,44027.8828125,996133607672
2020-12-06,44025.90234375,44780.36328125,43128.73828125,44422.67578125,44422.67578125,833301506285
2020-12-07,44414.41796875,44497.13671875,43208.890625,43684.04296875,43684.04296875,791280222078
2020-12-08,43688.28515625,43875.2109375,40740.66015625,40905.14453125,40905.14453125,1061572508358
2020-12-09,40902.578125,42587.77734375,39205.17578125,42332.8203125,42332.8203125,1170444812741
2020-12-10,42334.66015625,42415.57421875,40519.91015625,41300.1015625,41300.1015625,861349547113
2020-12-11,41300.15625,41351.625,39695.33984375,40246.16796875,40246.16796875,818408054238
